Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Cacao de Origen,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25,,Venezuela
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5,,Colombia
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5,,Colombia
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25,,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75,,Colombia
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75,,Colombia
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75,,Colombia
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75,,Colombia
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75,,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25,,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3,,Dominican Republic
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Sampaka,"Porcelana, Tabasco,  La Joya",336,2009,70%,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75,,Ecuador
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Papua,523,2010,71%,Spain,4,,Papua New Guinea
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5,,Venezuela
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5,,Venezuela
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar
Cacao Store,Peru,1684,2015,70%,Japan,3.25,,Peru
Cacao Store,Vietnam,1684,2015,70%,Japan,3.5,Trinitario,Vietnam
Cacaodada,Dominican Republic,2084,2018,70%,South Korea,3.25,,Dominican Republic
Cacaodada,Ecuador,2084,2018,70%,South Korea,3.5,,Ecuador
Cacaodada,Ghana,2084,2018,70%,South Korea,3,,Ghana
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25,,Peru
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Baking,141,2007,70%,Belgium,1,,Ecuador
Callebaut,Grenade,296,2008,60%,Belgium,2.75,Trinitario,Grenada
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad
C-Amaro,Venezuela,809,2012,80%,Italy,3,,Venezuela
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5,,Ecuador
C-Amaro,Cuba,1442,2014,75%,Italy,2.5,,Cuba
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3,,Dominican Republic
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend,
Cao,Bolivia,1808,2016,75%,U.S.A.,3,,Bolivia
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Cao,Tanzania,1804,2016,73%,U.S.A.,2.75,,Tanzania
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3,Criollo,Venezuela
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75,,Papua New Guinea
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5,,Costa Rica
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3.25,,Costa Rica
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5,,Guatemala
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru
Castronovo,"Guaniamo, Amazonas",1105,2013,70%,U.S.A.,3.25,,Venezuela
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3,,Venezuela
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Dominican Republic
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5,,Venezuela
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize
Castronovo,"Patanemo, batch 539",1956,2017,70%,U.S.A.,3.25,,Venezuela
Cello,Bolivia,1251,2014,70%,U.S.A.,3,,Bolivia
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5,,Ecuador
Cello,Peru,1247,2014,70%,U.S.A.,2.75,,Peru
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75,,Venezuela
Cemoi,Equateur,404,2009,72%,France,2.75,,Ecuador
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda
Chapon,"Beni, Cru Sauvage",2028,2017,74%,U.S.A.,3,,Bolivia
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25,,Belize
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5,,Costa Rica
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5,,
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25,,Ecuador
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75,Trinitario,Vietnam
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5,,Dominican Republic
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75,,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5,,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5,,
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2.5,,Bolivia
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3,,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3,,Dominican Republic
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25,,Ecuador
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75,,Nicaragua
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75,,Uganda
Chocolate Con Amor,Ocumare,1764,2016,80%,U.S.A.,3,Criollo (Ocumare),Venezuela
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75,,Peru
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico
Chocolibrium,"Monte Grande Plantation, Coatepeque",2080,2018,76%,U.S.A.,2.75,,Guatemala
Chocolibrium,"Anamalai, Tamil Nadu",2080,2018,63%,U.S.A.,2.5,,India
Chocolibrium,Ucayali,2080,2018,70%,U.S.A.,2.75,,Peru
ChocoReko,Patanemo,1454,2015,77%,Japan,3,Criollo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3.25,,Mexico
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada
Chocovic,Maragda,117,2007,70%,Spain,3,Blend,
Chocovic,Ocumare,209,2008,71%,Spain,3.5,Criollo,Venezuela
Chocovic,Kendari,439,2009,60%,Spain,3.25,,
Chocovic,Tarakan,439,2009,75%,Spain,3.25,,
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico
Choklat,Brazilian,377,2009,70%,Canada,3,,Brazil
Choklat,Brazilian,377,2009,80%,Canada,3,,Brazil
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico
Choklat,Ocumare,377,2009,70%,Canada,3,Criollo,Venezuela
Choklat,Ocumare,377,2009,80%,Canada,2.5,Criollo,Venezuela
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,2.75,,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25,,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,470,2010,73.5%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3.5,,Ecuador
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3.25,,Bolivia
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,2.75,Forastero (Nacional),Ecuador
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80%,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70%,Argentina,3.25,,Venezuela
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5,,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78%,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar
Coppeneur,"Porcelana, Tabasco,  Mexico",220,2008,72%,Germany,3,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3,Criollo (Porcelana),Venezuela
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru
Coppeneur,Chuao 70hr,451,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 100hr,451,2009,70%,Germany,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2.5,Nacional,Ecuador
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica
Coppeneur,Trinidad,558,2010,72%,Germany,3,Trinitario,Trinidad
Coppeneur,Ocumare 61,558,2010,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,Chuao,478,2010,70%,Germany,3,Trinitario,Venezuela
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1.5,,Ecuador
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana,1984,2017,75%,Germany,3.75,,Ghana
Cote d' Or (Kraft),Sensations Intense,048,2006,70%,Belgium,1,,
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3.25,Trinitario,Fiji
Cravve,Djual Island,975,2012,75%,Australia,3.5,Forastero,Papua New Guinea
Cravve,"Tanzania, batch a1",971,2012,75%,Australia,3.25,Forastero,Tanzania
Cravve,Vanuatu,975,2012,64%,Australia,3.25,Trinitario,Vanuatu
Cravve,New Ireland,1283,2014,70%,Australia,2.5,Forastero,Papua New Guinea
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,2.75,Trinitario,Vanuatu
Creo,"""heirloom"", Arriba Nacional",1736,2016,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador
Daintree,"Daintree Estates, N. Queensland",785,2011,70%,Australia,3.25,,Australia
Daintree,Goodman Estate,1654,2015,70%,Australia,2.75,,Australia
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,2.75,,Dominican Republic
Damson,Los Rios,1610,2015,70%,U.K.,3.5,,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70%,U.K.,2.25,,Grenada
Damson,O'Payo,1666,2015,70%,U.K.,2.75,,Nicaragua
Damson,Robson Estate,1610,2015,70%,U.K.,3,Trinitario,Trinidad
Damson,Angel Bar,2064,2018,65%,U.K.,2.5,Blend,"Nicaragua, Madagascar"
Dandelion,Dominican Republic,654,2011,70%,U.S.A.,3.25,,Dominican Republic
Dandelion,Madagascar,654,2011,70%,U.S.A.,3.25,Trinitario,Madagascar
Dandelion,Tanzania,654,2011,70%,U.S.A.,3.25,,Tanzania
Dandelion,Colombian,805,2012,70%,U.S.A.,3.25,,Colombia
Dandelion,Upala,805,2012,70%,U.S.A.,3,,Costa Rica
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75,,Dominican Republic
Dandelion,Papua New Guinea,1153,2013,70%,U.S.A.,3.5,,Papua New Guinea
Dandelion,"Mantuano, 2012",1085,2013,70%,U.S.A.,3.5,,Venezuela
Dandelion,Patanemo,1026,2013,70%,U.S.A.,3.25,,Venezuela
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70%,U.S.A.,2.75,,Venezuela
Dandelion,Maya Mountain,1219,2014,70%,U.S.A.,3.5,Trinitario,Belize
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75,,Dominican Republic
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3.5,,Ecuador
Dandelion,Buto,1303,2014,70%,U.S.A.,2.75,,Liberia
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70%,U.S.A.,3,Trinitario,Belize
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75,,
Dandelion,"Hacienda Azul, 2016 Harvest",2024,2017,70%,U.S.A.,3,,Costa Rica
Danta,Las Acacias E.,423,2009,60%,Guatemala,3.25,Criollo,Guatemala
Danta,Las Acacias E.,423,2009,75%,Guatemala,3,Criollo,Guatemala
Danta,Los Ujuxtes,661,2011,60%,Guatemala,3.5,,Guatemala
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75,,Guatemala
Danta,"Oscuro, Finca Chimelb",991,2012,70%,Guatemala,3.25,,Guatemala
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Danta,Chuao,987,2012,75%,Guatemala,3,Trinitario,Venezuela
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3.25,,Guatemala
DAR,"DUO, batch 002",1920,2016,70%,U.S.A.,3.25,,"Ecuador, Costa Rica"
DAR,"Venezuela, batch 122",1920,2016,72%,U.S.A.,2.75,,Venezuela
DAR,Vietnam,1920,2016,72%,U.S.A.,3,Trinitario,Vietnam
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3.25,,Ecuador
Dark Forest,Madagascar,1550,2015,70%,U.S.A.,3,Trinitario,Madagascar
Dark Forest,Tanzania,1554,2015,70%,U.S.A.,3,,Tanzania
Dark Forest,Ocumare,1550,2015,70%,U.S.A.,3.25,,Venezuela
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3.25,,Bolivia
Davis,West Africa,907,2012,58%,U.S.A.,3.25,Forastero,West Africa
Davis,Rainforest,1093,2013,70%,U.S.A.,2.75,,Dominican Republic
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana
Davis,Venezuela,1093,2013,70%,U.S.A.,2.75,,Venezuela
De Mendes,"Nativo, Varzea",1462,2015,72%,Brazil,3.5,,Brazil
De Mendes,"Selvagem, Jari",1462,2015,65%,Brazil,3.5,,Brazil
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3,,Madagascar
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2.5,Forastero,Uganda
Dean and Deluca (Belcolade),Costa Rica,175,2007,64%,U.S.A.,3,,Costa Rica
Dean and Deluca (Belcolade),Ecuador,175,2007,71%,U.S.A.,3,,Ecuador
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3,Forastero,Ghana
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64%,U.S.A.,3,,Papua New Guinea
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3,,Peru
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66%,France,3.75,,Venezuela
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3,,Papua New Guinea
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2.5,,Tanzania
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5,,Dominican Republic
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75,,Bolivia
Dick Taylor,La Red,769,2011,74%,U.S.A.,3,,Dominican Republic
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25,,Ecuador
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3,Trinitario,Madagascar
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,2.75,Criollo,Venezuela
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75,,Bolivia
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5,,Ecuador
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25,,Ecuador
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5,,Dominican Republic
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75,,Bolivia
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,"Fazenda Camboa, Bahia, batch 17009",1972,2017,75%,U.S.A.,3.75,,Brazil
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75,,Guatemala
Dick Taylor,"Solomon Is.,batch 17158, N.Vela",2016,2017,72%,U.S.A.,4,,Solomon Islands
Doble & Bignall,Johe,1407,2014,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3.25,,Panama
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3.25,Trinitario,Venezuela
Doble & Bignall,Puerto Cabello,1688,2015,85%,U.K.,3,,Venezuela
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75,,Hawaii
Dolfin (Belcolade),Noir,063,2006,70%,Belgium,1.5,,
Dolfin (Belcolade),Africa,304,2008,88%,Belgium,3,Forastero,West Africa
Domori,Apurimac,087,2006,70%,Italy,3.25,Trinitario,Peru
Domori,Carenero Superior,087,2006,70%,Italy,3.5,Trinitario,Venezuela
Domori,Sur del Lago Classificado,087,2006,70%,Italy,3,Trinitario,Venezuela
Domori,Ecuador,192,2007,70%,Italy,4,Forastero (Arriba),Ecuador
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar
Domori,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4,Criollo (Ocumare 67),Venezuela
Domori,"Ocumare 61, Puertomar",129,2007,75%,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela
Domori,Teyuna,272,2008,70%,Italy,3,,Colombia
Domori,"Carupano, H. San Jose",227,2008,70%,Italy,3,Trinitario,Venezuela
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend,
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend,
Domori,"Chuao, Hacienda San Jose",470,2010,70%,Italy,3,Trinitario,Venezuela
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela
Domori,Morogoro,863,2012,70%,Italy,3.5,,Tanzania
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3,Criollo,Venezuela
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75,,Ecuador
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,Tanzania,2040,2018,70%,Italy,4,,Tanzania
Dormouse,"Colombia, Batch 9",1676,2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia
Dormouse,"Madagascar, Batch 8",1676,2015,77%,U.K.,2.75,"Criollo, Trinitario",Madagascar
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada
Dormouse,"Verapaz, batch 254",2052,2018,72%,U.K.,3.5,Trinitario,Guatemala
Dormouse,"Piura, batch 274",2096,2018,80%,U.K.,3.5,,Peru
Dormouse,"Kablon Farm, batch 242",2052,2018,71.50%,U.K.,2.75,"Trinitario, Criollo",Philippines
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75,,Ecuador
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5,,Ecuador
Duffy's,Panama,516,2010,70%,U.K.,3.5,,Panama
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75,,Peru
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5,,Dominican Republic
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3,,Panama
Duffy's,Ocumare,765,2011,71%,U.K.,3.5,,Venezuela
Duffy's,Ocumare,923,2012,72%,U.K.,3.75,,Venezuela
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua
